Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000188208079,9/1/22 14:09,9/1/22 14:17,36429,3103 Quail Run Dr,Alvin,Texas,,,,FALSE
zcrm_1781014000188169113,9/1/22 11:58,9/1/22 16:28,76398,237 Clydesdale Street,Waxahachie,Texas,,,,FALSE
zcrm_1781014000188160661,9/1/22 13:28,9/1/22 13:35,366713,2820 Vista View Ln.,Prosper,Texas,,,,FALSE
zcrm_1781014000188160226,9/1/22 12:00,9/1/22 12:04,96617,10 Edgewood Ave,Temple,Pennsylvania,,,,FALSE
zcrm_1781014000188114678,9/1/22 13:10,9/1/22 13:29,44000,6200 Lantern View Drive,Jonestown,Texas,,,,FALSE
zcrm_1781014000188113809,9/1/22 13:37,9/1/22 13:59,902,190 Chalk Bluff Ct,Driftwood,Texas,,,,FALSE
zcrm_1781014000188113227,9/1/22 12:00,9/1/22 15:57,366665,7710 Lower Hill Rd,Westover,Maryland,,,,FALSE
zcrm_1781014000188068073,9/1/22 9:50,9/1/22 10:23,178419,8919 Polmont Dr.,Killeen,Texas,,,,FALSE
zcrm_1781014000188058442,9/1/22 9:18,9/1/22 9:34,24322,5021 Arrow Ridge,Schertz,Texas,,,,FALSE
zcrm_1781014000188055334,9/1/22 8:54,9/1/22 9:35,300767,174 York Timbers Way,Austin,Texas,,,,FALSE
zcrm_1781014000188024844,9/1/22 4:17,9/1/22 4:17,,DEV = Incididunt earum cum 77344,Do exercitation inci,,,,,FALSE
zcrm_1781014000187997067,8/31/22 17:56,9/1/22 9:04,170899,1323 Mary Preiss,New Braunfels,Texas,,,,FALSE
zcrm_1781014000187988269,8/31/22 17:14,8/31/22 17:45,189650,65 Goldfinch Circle,Phoenixville,Pennsylvania,,,,FALSE
zcrm_1781014000187988222,8/31/22 17:01,8/31/22 17:13,226242,320-322 North Ave,Sanford,North Carolina,,,,FALSE
zcrm_1781014000187987636,8/31/22 18:26,9/1/22 6:37,131723,618 FM 145,Farwell,Texas,,,,FALSE
zcrm_1781014000187984643,8/31/22 17:58,8/31/22 18:34,332801,2284 Hartfords Bluff Circle,Mt. Pleasant,South Carolina,,,,FALSE
zcrm_1781014000187983433,8/31/22 17:19,8/31/22 17:38,24770,12015 Casa Bonita St,San Antonio,Texas,,,,FALSE
zcrm_1781014000187967627,8/31/22 16:37,8/31/22 16:37,ID:8482a22d-9704-486c-881f-1c017836cb17,West Avenue J 10 93534,Lancaster,California,30-Sep-22,,,FALSE
zcrm_1781014000187967487,8/31/22 16:12,9/1/22 10:32,58911,4624 Moss Rose Dr,Fort Worth,Texas,,,,FALSE
zcrm_1781014000187967006,8/31/22 14:51,9/1/22 13:40,131534,1705 Chesterfield Dr,Carrollton,Texas,,,,FALSE
zcrm_1781014000187966313,8/31/22 15:31,8/31/22 20:03,61011,11239 Ginger Hazel,San Antonio,Texas,,,,FALSE
zcrm_1781014000187963934,8/31/22 16:21,8/31/22 19:22,130059,14343 Judson Rd #803,San Antonio,Texas,,,,FALSE
zcrm_1781014000187962353,8/31/22 15:15,8/31/22 15:32,1052,6501 Brisk Wind Dr,Corpus Christi,Texas,,,,FALSE
zcrm_1781014000187959728,8/31/22 16:12,9/1/22 14:47,65536,3001 Huntington Ct,Katy,Texas,,,,FALSE
zcrm_1781014000187958442,8/31/22 15:08,9/1/22 17:04,196062,6613 Autumn Mist Cove,Little Elm,Texas,,,,FALSE
zcrm_1781014000187958294,8/31/22 14:45,8/31/22 20:07,66674,630 Villa Creek Drive,Duncanville,Texas,,,,FALSE
zcrm_1781014000187920415,8/31/22 13:11,8/31/22 19:40,166182,210 N. Mosley,Longview,Texas,,,,FALSE
zcrm_1781014000187893930,8/31/22 14:37,8/31/22 14:37,366407,344 Los Cobos LN,Georgetown,Texas,,,,FALSE
zcrm_1781014000187893108,8/31/22 12:27,8/31/22 20:12,173448,1511 parker,Odessa,Texas,,,,FALSE
zcrm_1781014000187893014,8/31/22 12:02,9/1/22 12:58,195539,6110 COPPER SKY,MIDLAND,Texas,,,,FALSE
zcrm_1781014000187878492,8/31/22 13:02,8/31/22 13:40,279253,7420 93rd St.,Lubbock,Texas,,,,FALSE
zcrm_1781014000187868849,8/31/22 13:29,8/31/22 13:41,53913,167 Silva Creek Trail,Willis,Texas,,,,FALSE
zcrm_1781014000187849023,8/31/22 11:01,8/31/22 18:38,63107,9426 Emerald Green Dr,Rosharon,Texas,,,,FALSE
zcrm_1781014000187848361,8/31/22 11:45,9/1/22 13:40,355948,109 SE 5th,Andrews,Texas,,,,FALSE
zcrm_1781014000187843050,8/31/22 10:14,8/31/22 20:26,355666,825 Green Meadow,Harker Heights,Texas,,,,FALSE
zcrm_1781014000187841448,8/31/22 11:34,9/1/22 9:18,247123,738 Laramie Dr,Lewisville,Texas,,,,FALSE
zcrm_1781014000187830248,8/31/22 9:21,9/1/22 13:09,5585,12510 Sir Christopher's Cove,Austin,Texas,,,,FALSE
zcrm_1781014000187827258,8/31/22 8:15,8/31/22 9:14,323854,1365 W Groesbeck,Stephenville,Texas,,,,FALSE
zcrm_1781014000187823841,8/31/22 10:25,9/1/22 16:50,63065,1607 Foxfire Drive,College Station,Texas,,,,FALSE
zcrm_1781014000187820620,8/31/22 10:05,8/31/22 15:28,220887,7905 Vienna Drive,Plano,Texas,,,,FALSE
zcrm_1781014000187818350,8/31/22 8:10,8/31/22 8:52,164895,4364 Legends Bay Dr,Baytown,Texas,,,,FALSE
zcrm_1781014000187809864,8/31/22 10:13,8/31/22 10:14,49883,602 Lafayette Square Dr.,Leander,Texas,,,,FALSE
zcrm_1781014000187784754,8/31/22 7:59,9/1/22 8:37,77260,2018 Gibralter Dr,Pittsburgh,Pennsylvania,,,,FALSE
zcrm_1781014000187784004,8/30/22 20:51,8/30/22 20:51,192589,5604 Overton Drive,Parker,Texas,,,,FALSE
zcrm_1781014000187772957,8/31/22 6:19,8/31/22 10:02,290725,168 Spyglass Park Lane,Montgomery,Texas,,,,FALSE
zcrm_1781014000187770858,8/31/22 5:50,9/1/22 6:21,298649,339 Cardinal Creek,Duncanville,Texas,,,,FALSE
